Datetime,PJME_MW
2015-01,11239
2015-02,13844
2015-03,18477
2015-04,19038
2015-05,10980
2015-06,24178
2015-07,17711
2015-08,17479
2015-09,24167
2015-10,20961
2015-11,18056
2015-12,22609
2016-01,12153
2016-02,17377
2016-03,21565
2016-04,10334
2016-05,16805
2016-06,26490
2016-07,7301
2016-08,17765
2016-09,21617
2016-10,16626
2016-11,20365
2016-12,28517
2017-01,81712
2017-02,202968
2017-03,163778
2017-04,201141
2017-05,154587
2017-06,275307
2017-07,144793
2017-08,199073
2017-09,162905
2017-10,242129
2017-11,186271
2017-12,238861
2018-01,156348
2018-02,238122
2018-03,195097
2018-04,103943
2018-05,148850
2018-06,220924
2018-07,135645
2018-08,145047
2018-09,194360
2018-10,149868
2018-11,207123
2018-12,280455
2019-01,149396
2019-02,124186
2019-03,207102
2019-04,173047
2019-05,128432
2019-06,111067
2019-07,169942
2019-08,123956
2019-09,152696
2019-10,141278
2019-11,155646
2019-12,252762
2020-01,86144
2020-02,125253
2020-03,182763
2020-04,71815
2020-05,65956
2020-06,125250
2020-07,182544
2020-08,167330
2020-09,143853
2020-10,103965
2020-11,157616
2020-12,280289
2021-01,159235
2021-02,134896
2021-03,134158
2021-04,74089
2021-05,71918
2021-06,133608
2021-07,91356
2021-08,104432
2021-09,166630
2021-10,174029
2021-11,78397
2021-12,284637
2022-01,126091
2022-02,91642
2022-03,140733
2022-04,51231
2022-05,131328
2022-06,177327
2022-07,39862
