"YM","QTY"
"2015-01","11452"
"2015-02","14169"
"2015-03","18937"
"2015-04","19358"
"2015-05","11496"
"2015-06","24296"
"2015-07","17810"
"2015-08","18150"
"2015-09","24994"
"2015-10","21396"
"2015-11","18188"
"2015-12","22692"
"2016-01","12182"
"2016-02","17416"
"2016-03","23482"
"2016-04","10390"
"2016-05","16817"
"2016-06","26701"
"2016-07","7842"
"2016-08","17790"
"2016-09","21630"
"2016-10","16640"
"2016-11","20427"
"2016-12","28682"
"2017-01","89400"
"2017-02","205202"
"2017-03","165750"
"2017-04","204841"
"2017-05","158882"
"2017-06","278933"
"2017-07","145357"
"2017-08","200333"
"2017-09","164546"
"2017-10","243800"
"2017-11","186816"
"2017-12","239252"
"2018-01","160479"
"2018-02","240108"
"2018-03","195651"
"2018-04","107415"
"2018-05","151997"
"2018-06","228986"
"2018-07","135732"
"2018-08","145080"
"2018-09","194942"
"2018-10","154524"
"2018-11","209760"
"2018-12","282224"
"2019-01","151637"
"2019-02","127115"
"2019-03","208992"
"2019-04","173454"
"2019-05","130701"
"2019-06","113230"
"2019-07","170564"
"2019-08","125459"
"2019-09","153384"
"2019-10","141538"
"2019-11","156077"
"2019-12","253326"
"2020-01","86520"
"2020-02","126479"
"2020-03","183789"
"2020-04","72053"
"2020-05","66028"
"2020-06","125251"
"2020-07","182706"
"2020-08","167395"
"2020-09","144215"
"2020-10","105375"
"2020-11","157906"
"2020-12","280334"
"2021-01","160969"
"2021-02","135045"
"2021-03","137783"
"2021-04","75134"
"2021-05","71955"
"2021-06","133628"
"2021-07","91444"
"2021-08","104542"
"2021-09","169783"
"2021-10","174078"
"2021-11","78409"
"2021-12","284638"
"2022-01","126115"
"2022-02","91644"
"2022-03","142587"
"2022-04","51232"
"2022-05","131377"
"2022-06","172025"
